numThreads,type,nanoseconds
8,Faasm remote snap,120018223
8,Faasm remote snap,123428582
8,Faasm remote snap,133015133
8,Faasm remote snap,131492131
8,Faasm remote snap,130343739
8,Faasm remote snap,131210466
8,Faasm remote snap,124938213
8,Faasm remote snap,130846244
8,Faasm remote snap,128926550
8,Faasm remote snap,129698835
8,Faasm remote snap,129354438
8,Faasm remote snap,122413523
8,Faasm remote snap,121547639
8,Faasm remote snap,133883473
8,Faasm remote snap,132952506
8,Faasm remote snap,121673533
8,Faasm remote snap,121799132
8,Faasm remote snap,133298347
8,Faasm remote snap,143113153
8,Faasm remote snap,122606755
8,Faasm remote snap,124785901
8,Faasm remote snap,126687955
8,Faasm remote snap,120891796
8,Faasm remote snap,122266417
8,Faasm remote snap,127148806
8,Faasm remote snap,131678450
8,Faasm remote snap,132430062
8,Faasm remote snap,121127357
8,Faasm remote snap,123212584
8,Faasm remote snap,124859710
8,Faasm remote snap,126521514
8,Faasm remote snap,125316938
8,Faasm remote snap,122697961
8,Faasm remote snap,124615360
8,Faasm remote snap,123378730
8,Faasm remote snap,128783048
8,Faasm remote snap,124039346
8,Faasm remote snap,127033928
8,Faasm remote snap,123197813
8,Faasm remote snap,123962581
8,Faasm remote snap,124825835
8,Faasm remote snap,136143969
8,Faasm remote snap,125414324
8,Faasm remote snap,131143895
8,Faasm remote snap,121340721
8,Faasm remote snap,133579422
8,Faasm remote snap,125657653
8,Faasm remote snap,127890808
8,Faasm remote snap,128870214
8,Faasm remote snap,137105740
8,Faasm remote snap,133479348
8,Faasm remote snap,119354052
8,Faasm remote snap,127463401
8,Faasm remote snap,123579178
8,Faasm remote snap,131197036
8,Faasm remote snap,125966094
8,Faasm remote snap,128008843
8,Faasm remote snap,120806777
8,Faasm remote snap,142716401
8,Faasm remote snap,122106177
8,Faasm remote snap,124907149
8,Faasm remote snap,127820270
8,Faasm remote snap,130090868
8,Faasm remote snap,125775884
8,Faasm remote snap,135051359
8,Faasm remote snap,127412901
8,Faasm remote snap,124868205
8,Faasm remote snap,127213642
8,Faasm remote snap,133834733
8,Faasm remote snap,126847599
8,Faasm remote snap,124373034
8,Faasm remote snap,155483366
8,Faasm remote snap,119852290
8,Faasm remote snap,120158089
8,Faasm remote snap,118537481
8,Faasm remote snap,131431884
8,Faasm remote snap,126329280
8,Faasm remote snap,128418898
8,Faasm remote snap,132466787
8,Faasm remote snap,131020118
8,Faasm remote snap,125222432
8,Faasm remote snap,128178044
8,Faasm remote snap,123825046
8,Faasm remote snap,123146510
8,Faasm remote snap,136956417
