,Loop size,Number of threads,System,Time (ms),Throughput (ops/msec)
844,Huge,24,Distributed,8792055,204.73029342969306
846,Huge,24,Distributed,8557715,210.33652090540525
848,Huge,24,Distributed,8472000,212.46458923512748
850,Huge,26,Distributed,7904355,227.72256559833156
852,Huge,26,Distributed,7814092,230.35305957493205
854,Huge,26,Distributed,8068027,223.10287261061472
856,Huge,26,Distributed,8037972,223.93708263726222
858,Huge,26,Distributed,8147384,220.92981010837343
860,Huge,28,Distributed,7648573,235.33801664702685
862,Huge,28,Distributed,7519486,239.3780638729828
864,Huge,28,Distributed,7517962,239.42658928044594
866,Huge,28,Distributed,7398689,243.2863443780378
868,Huge,28,Distributed,8146320,220.95866599888046
870,Huge,30,Distributed,7070342,254.58457313663186
872,Huge,30,Distributed,7130158,252.4488237147059
874,Huge,30,Distributed,7055637,255.11516536352423
876,Huge,30,Distributed,7152800,251.6497036125713
878,Huge,30,Distributed,7041660,255.62154378371008
880,Huge,32,Distributed,6671636,269.7988919059733
882,Huge,32,Distributed,6650197,270.668673424261
884,Huge,32,Distributed,6548694,274.86396524253536
886,Huge,32,Distributed,6665572,270.0443412808383
888,Huge,32,Distributed,6684798,269.26767271052915
890,Huge,34,Distributed,6199785,290.33264863217033
892,Huge,34,Distributed,6332742,284.2370650817608
894,Huge,34,Distributed,6217837,289.4897373475696
896,Huge,34,Distributed,6493635,277.1945143205616
898,Huge,34,Distributed,6353775,283.29615071355215
900,Huge,36,Distributed,6020366,298.9851447569799
902,Huge,36,Distributed,6148649,292.74723601883926
904,Huge,36,Distributed,5659591,318.044183758155
906,Huge,36,Distributed,5988174,300.592467753943
908,Huge,36,Distributed,6240729,288.42784232419
910,Huge,38,Distributed,9704738,185.47641368576873
912,Huge,38,Distributed,9822927,183.24477011790884
914,Huge,38,Distributed,9755574,184.509901723876
916,Huge,38,Distributed,10510985,171.2494119247625
918,Huge,38,Distributed,9708830,185.39824057069697
920,Huge,40,Distributed,10142287,177.47476481389256
922,Huge,40,Distributed,9888587,182.02802887814002
924,Huge,40,Distributed,10128747,177.71201116979228
926,Huge,40,Distributed,9335507,192.81223826408143
928,Huge,40,Distributed,10455377,172.16021956931826
